Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-01-06;39,80;40,20;39,60;40,20;39,60;40,20;40,032;137;5484,4;4;
2021-01-05;39,60;39,80;40,40;40,40;39,60;40,00;40,122;827;33180,8;10;
2021-01-04;39,60;40,00;40,40;40,40;40,00;40,00;40,169;129;5181,8;7;
2020-12-30;39,60;40,00;39,60;39,60;39,00;39,60;39,483;10061;397239,6;17;
2020-12-29;39,60;40,00;40,40;40,40;39,20;39,60;39,715;313;12430,8;12;
2020-12-28;39,40;40,00;40,40;40,40;39,20;40,20;39,83;1650;65719,8;14;
2020-12-23;39,00;39,80;39,00;40,40;39,00;40,40;39,356;382;15034;9;
2020-12-22;39,00;39,80;40,00;40,40;38,60;39,00;39,527;987;39013;7;
2020-12-21;39,00;39,40;39,00;39,00;39,00;39,00;39,00;366;14274;6;
2020-12-18;39,00;39,40;39,00;39,00;39,00;39,00;39,00;598;23322;11;
2020-12-17;39,20;39,60;40,00;40,00;39,00;39,00;39,126;87;3404;4;
2020-12-16;39,20;39,60;39,40;40,00;39,00;40,00;39,664;997;39544,6;11;
2020-12-15;39,20;39,80;40,40;40,40;40,40;40,40;40,40;67;2706,8;4;
2020-12-14;39,20;39,80;39,80;40,40;39,20;40,40;39,313;127;4992,8;3;
2020-12-11;39,00;39,80;40,40;40,40;39,20;40,40;40,298;204;8220,8;8;
2020-12-10;39,20;39,80;39,80;40,40;39,20;40,40;40,374;437;17643,6;8;
2020-12-09;39,00;39,80;39,00;39,80;39,00;39,80;39,169;744;29141,8;6;
2020-12-08;39,00;39,80;39,40;39,40;39,00;39,00;39,306;828;32545,4;4;
2020-12-07;39,20;40,00;41,00;41,00;39,40;39,40;40,226;208;8367;11;
2020-12-04;41,00;41,20;41,00;41,00;41,00;41,00;41,00;1;41;1;
2020-12-03;40,40;40,80;40,60;41,00;40,40;41,00;40,886;295;12061,4;3;
2020-12-02;40,40;41,20;41,40;41,40;41,40;41,40;41,40;204;8445,6;2;
2020-12-01;40,60;41,00;40,60;41,40;40,60;41,40;41,356;182;7526,8;7;
2020-11-30;40,60;41,00;40,40;40,60;40,40;40,60;40,425;8;323,4;3;
2020-11-27;40,40;41,00;41,40;41,40;40,40;40,40;40,54;70;2837,8;4;
2020-11-26;40,40;41,00;41,20;41,40;40,40;40,40;40,879;2131;87113,2;12;
2020-11-25;40,60;41,00;41,60;41,60;41,40;41,40;41,471;171;7091,6;5;
2020-11-24;40,40;41,00;41,20;41,60;40,40;41,60;41,137;1372;56440,2;11;
2020-11-23;41,00;41,40;41,20;41,40;41,00;41,40;41,321;349;14421;8;
2020-11-20;40,40;41,20;41,00;41,40;40,40;41,40;40,491;419;16965,6;9;
2020-11-19;40,40;41,00;41,40;41,40;40,40;41,40;41,019;273;11198,2;6;
2020-11-18;40,40;41,20;41,60;41,60;40,40;41,60;41,394;1245;51535,2;13;
2020-11-17;40,40;41,00;40,40;41,60;40,20;40,20;40,907;1434;58661,2;18;
2020-11-16;40,40;41,40;42,40;42,40;41,60;41,60;41,688;1765;73578,4;15;
2020-11-13;41,00;41,80;41,60;41,60;41,00;41,00;41,365;1583;65480;10;
2020-11-12;40,20;40,80;41,60;41,60;40,20;40,20;41,496;27;1120,4;3;
2020-11-11;40,00;41,00;40,40;42,40;39,60;41,00;40,535;1703;69031,2;16;
2020-11-10;38,80;40,00;39,80;40,00;38,60;40,00;39,695;965;38305,4;12;
2020-11-09;38,60;39,20;40,40;40,40;38,60;38,60;39,574;264;10447,4;7;
2020-11-06;38,40;39,00;38,40;39,40;38,40;39,40;38,589;3349;129235,6;16;
2020-11-05;38,40;39,00;38,80;39,00;38,00;38,40;38,338;2641;101250,8;10;
2020-11-04;39,00;39,60;40,80;40,80;38,80;39,00;39,268;1483;58235;8;
2020-11-03;39,80;40,60;40,40;40,40;40,00;40,00;40,066;852;34136;12;
2020-11-02;40,40;41,00;40,40;40,40;40,40;40,40;40,40;390;15756;4;
